요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,796,605,489,395,423,582,951,1174,1665,1903,2040,2207,2128,2140,2125,2096,2090,2036,2003,1631,1263,1160,915,835
일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,629,485,366,289,258,400,652,896,1238,1523,1731,1745,1863,1877,1856,1869,1874,1793,1701,1424,1228,1195,979,714
월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,431,297,216,211,328,775,1925,2900,2548,2304,2078,2036,1676,1852,1889,2024,1976,1919,2372,1712,1357,1383,1182,857
화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,576,420,283,278,348,737,1701,2832,2621,2396,2068,2205,1981,1961,2028,2144,2256,2318,2260,1972,1533,1556,1337,999
수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,710,539,370,278,365,728,1705,2746,2600,2406,2060,2162,1954,1877,2019,2132,2213,2391,2326,1955,1551,1542,1296,1020
목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,736,515,377,319,351,715,1634,2770,2661,2438,2099,2157,2080,1997,2071,2013,2183,2464,2353,1868,1550,1603,1413,1001
금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,775,515,383,298,366,749,1673,2745,2629,2212,2188,2202,1988,1980,2091,2213,2186,2391,2405,1952,1532,1531,1421,1173
토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,773,572,476,379,399,606,1023,1265,1754,2069,2016,2213,2161,2153,2045,2083,2135,2067,1943,1608,1289,1348,1286,923
일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,660,515,369,281,287,399,662,898,1238,1641,1862,1773,1737,1869,1748,1784,1661,1694,1532,1309,1290,1129,1047,690
월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,457,272,222,223,338,786,1925,2969,2667,2352,2004,2089,1811,1805,2057,2095,2145,2343,2221,1801,1388,1530,1311,827
화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,653,460,341,268,360,753,1673,2824,2638,2425,2281,2221,2010,2032,2052,2065,2215,2311,2385,1904,1459,1538,1318,959
수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,761,510,350,284,365,694,1674,2780,2576,2444,2220,2220,2048,2065,2012,2260,1898,2248,2244,1922,1467,1563,1304,1006
목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,705,515,385,303,386,802,1748,2755,2640,2413,2238,2293,1959,2060,2110,2223,2288,2372,2334,1954,1411,1626,1367,1071
금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,711,571,414,312,390,766,1705,2740,2641,2338,2313,2184,2071,2057,2077,2242,2040,2496,2320,1952,1583,1633,1423,1129
토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,756,587,449,384,416,596,1037,1213,1804,2031,2141,2154,2169,2046,1999,2094,2086,2076,1892,1612,1269,1290,1248,941
일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,632,467,335,277,297,403,649,940,940,1319,1854,1772,1697,1814,1663,1624,1759,1842,1683,1433,1206,1109,901,727
월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,411,278,223,234,353,777,1985,2900,2664,2216,2003,2089,1820,1939,1900,2111,2219,2415,2366,1861,1469,1523,1406,1058
화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,719,536,359,291,407,812,1820,2825,2652,2258,2273,2275,2193,2104,2046,1985,2220,2478,2412,1891,1563,1599,1487,1034
수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,695,601,374,287,395,720,1741,2776,2711,2540,2302,2279,2232,1926,2209,2271,1948,2490,2328,1963,1672,1579,1333,992
목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,702,594,425,333,390,748,1624,2706,2510,2408,2274,2252,2075,2096,2215,2346,2356,2442,2130,1794,1686,1772,1533,1024
금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,746,600,446,338,347,635,1544,1880,2617,2372,2206,2111,2037,2030,2124,2355,2335,2399,2201,1645,1372,1343,1403,1077
