다우존스,나스닥100,환율,주가
25426,7015,1125,2190
25106,6913,1124,2177
25239,6960,1122,2177
24528,6697,1119,2177
24706,6784,1122,2124
23996,6601,1116,2075
23433,6422,1124,2010
23139,6288,1122,2028
23323,6342,1126,2079
24527,6764,1129,2095
25027,6795,1106,2114
24748,6701,1130,2099
25017,6642,1127,2100
25387,6829,1137,2080
25461,6937,1125,2077
24443,6714,1142,1996
25317,7141,1132,2162
25250,7068,1133,2145
26487,7353,1138,2254
26651,7645,1111,2339
26562,7548,1115,2345
26062,7435,1126,2303
25857,7447,1129,2289
25965,7654,1117,2323
25790,7485,1117,2293
25669,7377,1125,2247
25313,7408,1129,2283
25462,7395,1127,2288
25451,7297,1118,2295
25058,7350,1135,2289
25019,7376,1133,2311
24456,7207,1117,2273
24216,7031,1124,2314
24461,7217,1112,2338
25175,7279,1082,2423
25241,7153,1069,2470
24416,6968,1078,2423
24997,6953,1082,2472
24769,6930,1081,2460
24542,6893,1079,2444
23925,6644,1076,2505
24084,6514,1082,2449
24748,6833,1066,2480
24189,6583,1069,2444
24264,6560,1064,2408
23858,6530,1074,2452
24727,6886,1071,2485
25007,7046,1065,2494
24884,6913,1071,2411
25410,6900,1072,2456
24965,6779,1074,2415
